	Pid	period	true label	predicted label	logits
238	1611	Uruk IV (ca. 3350-3200 BC)	16	16	[0.4790315628051758, -3.2379446029663086, -3.4876692295074463, 1.2178411483764648, 1.5202486515045166, -0.13899922370910645, -1.0888534784317017, 0.16879679262638092, 2.05474853515625, 2.934474229812622, -0.23089109361171722, -1.803672194480896, -1.0136055946350098, -3.366284132003784, -1.3233239650726318, 2.4418728351593018, 3.474630355834961, 2.3227486610412598]
239	274160	Ebla (ca. 2350-2250 BC)	4	4	[-2.069852352142334, -1.316632866859436, -3.389754056930542, 2.34199595451355, 17.10610580444336, -1.8557329177856445, -0.6428838968276978, 1.534679889678955, -2.593247652053833, -1.6315194368362427, -4.164238452911377, -1.3385409116744995, 2.371549367904663, -0.4895647168159485, -7.878392696380615, -4.0127763748168945, 0.5115641951560974, -0.0882631242275238]
240	491921	Lagash II (ca. 2200-2100 BC)	5	10	[0.7490532398223877, -0.3377382159233093, 3.2784478664398193, 0.6632723808288574, -1.3527588844299316, 4.494022369384766, -2.9504151344299316, 0.07005015015602112, -2.4676904678344727, 1.3040387630462646, 8.188838005065918, 0.3981419503688812, -2.330895185470581, -1.723807454109192, 2.4677233695983887, -4.58219051361084, -4.484383583068848, -1.1334559917449951]
241	391938	Early Old Babylonian (ca. 2000-1900 BC)	3	3	[-1.849441409111023, -1.7959595918655396, -2.1139402389526367, 10.8551025390625, -0.36448997259140015, 2.711000680923462, 0.8697951436042786, 1.0527998208999634, -0.364380419254303, 0.988916277885437, -2.3608670234680176, -0.7811993360519409, 2.4358842372894287, -2.0466678142547607, -1.079171061515808, -1.5364420413970947, -2.3729817867279053, -1.0091793537139893]
242	3753	Uruk III (ca. 3200-3000 BC)	15	15	[2.7976865768432617, -2.6367225646972656, 1.9940232038497925, -0.4965117573738098, -2.111585855484009, 3.598316192626953, 0.171048104763031, 1.9311730861663818, -3.168205976486206, -1.5314080715179443, -2.1473772525787354, -6.921800136566162, -2.261970281600952, -2.0790855884552, -2.9146406650543213, 7.577276706695557, 6.537163734436035, 1.7146233320236206]
243	144412	Ur III (ca. 2100-2000 BC)	14	3	[-1.5198357105255127, -3.1203227043151855, -0.9394160509109497, 9.576272964477539, -2.3695337772369385, -1.634220004081726, 1.1157697439193726, 1.9141366481781006, -2.1186132431030273, -0.7015383243560791, -2.762659788131714, -1.2372407913208008, 4.537099838256836, -2.2532763481140137, 3.5580172538757324, -1.949963927268982, -1.1427274942398071, -0.3895825445652008]
244	216884	Old Akkadian (ca. 2340-2200 BC)	10	10	[-1.3397552967071533, -1.7077620029449463, 3.1362502574920654, -3.579073190689087, -0.678387463092804, 2.213730812072754, 0.5328574776649475, 4.128190517425537, 1.121829867362976, 2.394479513168335, 6.146907329559326, 0.6190683245658875, -0.09333711117506027, -0.6352763175964355, -1.9922151565551758, -4.505979061126709, -4.326015472412109, 0.12603890895843506]
245	274153	Ebla (ca. 2350-2250 BC)	4	4	[-0.4632337987422943, -0.5356915593147278, 1.502386450767517, -1.1637558937072754, 9.194832801818848, 0.4925934970378876, -1.8583377599716187, 1.135774850845337, -2.267293691635132, -3.1750333309173584, 0.5275121927261353, -1.201109528541565, 1.4712382555007935, 3.848144054412842, -4.775437355041504, 0.05459461733698845, -1.6003824472427368, -1.437765121459961]
246	8196	Proto-Elamite (ca. 3100-2900 BC)	13	13	[-0.9628169536590576, 0.7039589285850525, 3.654168128967285, 1.8148393630981445, 3.595454454421997, 0.940943717956543, -0.6876949667930603, -0.037592772394418716, -0.14569777250289917, 0.7743253707885742, -1.2516932487487793, -0.17899230122566223, -2.3164784908294678, 5.6051130294799805, -1.7041538953781128, -2.3084235191345215, -2.7565133571624756, -1.295028567314148]
247	396017	Neo-Assyrian (ca. 911-612 BC)	8	8	[-1.6168323755264282, -3.517570972442627, -0.44841039180755615, 1.213414192199707, -1.2803946733474731, 0.6504774689674377, -0.5038411617279053, 0.4712449312210083, 6.956870079040527, 1.7499361038208008, 0.7027005553245544, 1.1843384504318237, -1.3861302137374878, -1.2530498504638672, 3.55527400970459, -3.017944812774658, -2.9428062438964844, -0.22567585110664368]
248	476261	Middle Babylonian (ca. 1400-1100 BC)	7	3	[-1.0039403438568115, 1.9686040878295898, 1.4800630807876587, 4.082448482513428, 0.25533899664878845, 1.2885617017745972, 0.3382583260536194, 3.2356159687042236, 0.3087500333786011, 1.8451322317123413, -2.467634677886963, -1.6498284339904785, 2.382824182510376, -3.4105727672576904, -0.17337167263031006, -1.960442066192627, -3.661158323287964, -2.002481698989868]
249	396135	Neo-Assyrian (ca. 911-612 BC)	8	8	[0.8094328045845032, -2.333200454711914, -3.8637824058532715, -0.43514156341552734, -0.6994316577911377, 2.9583404064178467, -0.72987961769104, -0.2763499915599823, 10.426979064941406, -0.21080124378204346, -1.35715651512146, -1.2423039674758911, -2.684237003326416, -2.034987688064575, -1.1375346183776855, 3.829817771911621, 1.4007110595703125, -1.901657223701477]
250	8017	Proto-Elamite (ca. 3100-2900 BC)	13	13	[-4.28286600112915, -1.3990510702133179, -3.1996278762817383, 2.0783777236938477, 2.625272750854492, -0.19555175304412842, 1.0971522331237793, 2.923624277114868, -0.6496139168739319, -1.6325732469558716, -1.581556797027588, -0.9362196922302246, -0.1913585662841797, 11.335490226745605, -4.883497714996338, -0.9056634306907654, -0.6587137579917908, 0.1228160560131073]
251	20242	ED IIIb (ca. 2500-2340 BC)	2	2	[1.7807059288024902, 5.564696311950684, 7.635214328765869, -0.48165398836135864, 0.7652307152748108, -1.0049529075622559, -1.3635261058807373, -2.1042652130126953, -2.479938507080078, -0.9735784530639648, -0.4967763423919678, -1.17022705078125, 0.1223028227686882, -4.318024635314941, -1.7187964916229248, 2.496135711669922, -0.1500885784626007, -1.5983933210372925]
252	8024	Proto-Elamite (ca. 3100-2900 BC)	13	13	[-0.15887169539928436, 1.3707337379455566, 1.3936219215393066, 4.328267574310303, -0.1670539379119873, -5.176910400390625, -2.5014913082122803, 0.91148841381073, 1.0891166925430298, -0.23586638271808624, 0.5132588148117065, -2.595076084136963, -0.02509617805480957, 11.907361030578613, -5.372826099395752, -3.437887668609619, -4.988272666931152, -1.0866637229919434]
253	453928	Ur III (ca. 2100-2000 BC)	14	14	[0.2704050838947296, -2.531303882598877, 2.4041712284088135, -0.521493673324585, -0.5073056221008301, 1.9756689071655273, 0.7100655436515808, 3.3965957164764404, -3.0333452224731445, 2.577451229095459, 0.5673045516014099, -1.893004298210144, 1.7931350469589233, -0.8730210661888123, 6.490144729614258, -2.966200113296509, -4.348930358886719, -1.5487746000289917]
254	221535	ED IIIb (ca. 2500-2340 BC)	2	2	[-1.2416305541992188, 0.21471594274044037, 4.777815818786621, 3.94128155708313, -1.6009125709533691, -0.9101301431655884, -1.3168805837631226, 0.05264485999941826, -2.554600238800049, 0.49711814522743225, 2.6792001724243164, 3.846450090408325, 0.3712410032749176, -1.4212695360183716, -0.6380610466003418, -1.4372379779815674, -2.303389310836792, -0.8337880373001099]
255	392161	Neo-Assyrian (ca. 911-612 BC)	8	8	[3.171261787414551, -2.5336623191833496, 1.0971473455429077, -1.0358314514160156, -0.9910308122634888, -1.2052292823791504, -0.46630844473838806, 1.0814054012298584, 8.783272743225098, -3.675790309906006, 1.0522663593292236, 1.2447179555892944, 0.9534164071083069, -2.2355611324310303, 0.6656875610351562, -2.7614784240722656, -2.119293451309204, -3.862919569015503]
256	459208	ED IIIa (ca. 2600-2500 BC)	1	1	[5.620738983154297, 6.294275760650635, 2.678199529647827, -4.056790351867676, 1.5683165788650513, 0.4434919059276581, -3.0385677814483643, 0.9151768088340759, 0.340141236782074, -0.4234977960586548, -0.2360772043466568, 2.4489781856536865, -2.4990718364715576, 0.9806760549545288, -4.89547061920166, -0.05758950486779213, -2.919872760772705, -0.08785149455070496]
257	1274	Uruk IV (ca. 3350-3200 BC)	16	16	[0.27855682373046875, -4.390603065490723, -0.9922743439674377, -4.623989582061768, -0.4271318018436432, -3.4556009769439697, -0.8751272559165955, 0.815927267074585, -2.772406816482544, 0.21446314454078674, 1.4143155813217163, -1.5625609159469604, -5.598633289337158, -0.22299516201019287, 1.1891796588897705, 1.4190053939819336, 11.379937171936035, 3.8359220027923584]
258	476266	Middle Babylonian (ca. 1400-1100 BC)	7	8	[-2.0368902683258057, -1.0042879581451416, 0.8882445693016052, 3.016050338745117, -3.7167718410491943, 0.4013742208480835, 4.757781028747559, 0.9796060919761658, 6.401538848876953, 1.1900074481964111, -3.0542008876800537, 0.7456520795822144, 4.345596790313721, -4.75567626953125, 3.0494561195373535, -6.142696857452393, -5.467191696166992, -1.4681583642959595]
259	476268	Middle Babylonian (ca. 1400-1100 BC)	7	12	[2.3939614295959473, 3.298877716064453, 2.4288299083709717, 1.1702009439468384, -1.6933447122573853, -0.6993124485015869, -1.5485039949417114, -0.09173229336738586, 2.9300477504730225, 0.34150782227516174, 1.0110151767730713, -2.1309056282043457, 3.4578073024749756, -3.1513540744781494, -3.5065441131591797, -0.6513659358024597, -0.4482772946357727, -1.8663520812988281]
260	20447	ED IIIb (ca. 2500-2340 BC)	2	2	[-0.0015877634286880493, 1.5861905813217163, 7.189002513885498, 6.474348545074463, -1.1422349214553833, -1.339028239250183, -0.16964676976203918, 0.6149866580963135, -6.413417816162109, -1.076830267906189, 0.20775265991687775, -3.4267821311950684, 1.6463301181793213, -4.069411754608154, -0.16430075466632843, -0.9544934630393982, -3.5895049571990967, -1.9970847368240356]
261	274177	Ebla (ca. 2350-2250 BC)	4	12	[-2.1310949325561523, -1.479941487312317, 0.45028528571128845, 0.571467399597168, 4.185548305511475, -0.4973495304584503, -1.0568770170211792, 0.5389225482940674, -5.5833258628845215, -1.997685432434082, -0.8903587460517883, 0.7057777047157288, 7.548263072967529, 0.3994091749191284, -5.430981159210205, 1.9016767740249634, 0.09558054059743881, -0.5238450169563293]
262	274557	Neo-Assyrian (ca. 911-612 BC)	8	8	[-1.5045217275619507, -2.0005481243133545, -0.4077053666114807, 3.327479839324951, -0.2910362184047699, -2.251767635345459, 2.0597281455993652, -0.781691312789917, 8.111684799194336, 3.8861193656921387, -5.515590190887451, 4.562743663787842, -1.0542049407958984, -1.70106840133667, -1.1581361293792725, -2.366462230682373, -0.23412975668907166, -0.8728598356246948]
263	452314	Neo-Babylonian (ca. 626-539 BC)	9	11	[-0.6120524406433105, -1.0477590560913086, 1.3535408973693848, -1.5536856651306152, 0.4806004762649536, 0.3994952142238617, -0.3274797201156616, 0.572888195514679, 3.1319034099578857, 3.969789981842041, 2.8798906803131104, 5.102997779846191, -0.6387450695037842, -1.6060190200805664, -4.521268367767334, -1.651405930519104, -3.0372977256774902, -0.49188271164894104]
264	357616	Old Assyrian (ca. 1950-1850 BC)	11	11	[-0.14016275107860565, -0.35169434547424316, -0.26965346932411194, 0.39380496740341187, -0.8577739596366882, -0.6043429970741272, 0.23501056432724, 2.9046123027801514, 3.7040748596191406, 1.28497314453125, -0.835023820400238, 7.182069301605225, 0.429246723651886, -0.8753427267074585, -2.4967710971832275, -2.1809656620025635, -3.29750657081604, -2.423099994659424]
265	250935	Old Akkadian (ca. 2340-2200 BC)	10	10	[1.3115612268447876, 0.8721039891242981, 2.6888811588287354, -1.9260940551757812, -2.1615326404571533, 0.7376986742019653, -2.4017577171325684, -1.8640204668045044, 2.3616926670074463, 0.6186590194702148, 10.572900772094727, -1.019973874092102, 0.40722569823265076, -2.4572389125823975, -2.7429580688476562, -0.35841915011405945, -1.751676321029663, -0.22178493440151215]
266	220851	ED IIIb (ca. 2500-2340 BC)	2	2	[-0.20610202848911285, 0.5892423391342163, 7.428125381469727, -0.6382554769515991, 0.17994681000709534, -0.38524100184440613, -0.4243326187133789, -0.9249821901321411, -2.5136516094207764, 0.9208430051803589, 3.187077283859253, 2.467390298843384, -1.8639400005340576, -2.8887062072753906, 2.112816572189331, -0.8562746644020081, -2.103949546813965, -1.2641737461090088]
267	8153	Proto-Elamite (ca. 3100-2900 BC)	13	13	[-2.336348533630371, -1.6590715646743774, -1.5892771482467651, -4.7374958992004395, -0.3485839068889618, -1.9844179153442383, -0.48951804637908936, 2.0984103679656982, 4.328887939453125, 0.26532837748527527, 0.44796156883239746, 0.9598817825317383, 2.097376585006714, 13.406229972839355, -4.165991306304932, -1.073509931564331, -2.205751419067383, -0.7476681470870972]
268	329264	ED IIIa (ca. 2600-2500 BC)	1	12	[0.2041682004928589, -0.2056085765361786, -2.395207166671753, 3.274672269821167, -3.5751709938049316, -4.280025005340576, -0.23217737674713135, -0.6378152966499329, -3.5356252193450928, -1.0368329286575317, 2.3557190895080566, -0.34885886311531067, 8.036550521850586, -2.113975763320923, 2.582656145095825, -0.35223037004470825, 0.4018784463405609, 0.03621870279312134]
269	423242	Neo-Assyrian (ca. 911-612 BC)	8	8	[4.576385498046875, -0.596116304397583, -2.8114254474639893, -3.0161244869232178, 0.402717649936676, 1.768383502960205, -0.6108770966529846, 0.5856281518936157, 11.885000228881836, -1.470535397529602, -6.615150451660156, -3.0945606231689453, -2.503406524658203, -0.9795957803726196, -4.478378772735596, 4.020845413208008, 0.9563722610473633, -0.4749491810798645]
270	1578	Uruk IV (ca. 3350-3200 BC)	16	16	[2.5499658584594727, -1.8150620460510254, -1.6353881359100342, -5.209079265594482, -0.4148225784301758, -4.055261135101318, -0.07729604095220566, -0.20948892831802368, -1.57253098487854, 0.12690439820289612, -4.098439693450928, 0.7507478594779968, -3.786993980407715, -0.14259040355682373, -1.7146141529083252, 5.217287540435791, 9.603864669799805, 5.1590986251831055]
271	8546	Proto-Elamite (ca. 3100-2900 BC)	13	13	[-2.0462517738342285, -1.912071943283081, -1.6705914735794067, -0.923787534236908, 0.27554652094841003, 2.503288507461548, -0.07781455665826797, 0.689333438873291, 0.2525106966495514, 0.4491865634918213, 0.4523482322692871, 1.8440011739730835, -3.3887863159179688, 11.600713729858398, -1.399881362915039, -1.2027065753936768, -1.0123224258422852, 0.47517600655555725]
272	423750	Early Old Babylonian (ca. 2000-1900 BC)	3	3	[-1.305060625076294, -2.353818416595459, -3.7150840759277344, 13.08591365814209, -1.9092744588851929, 11.315762519836426, 0.1765168011188507, 1.62123703956604, -2.5470077991485596, -1.2799382209777832, -1.1704684495925903, 2.1042473316192627, -0.9308093786239624, -4.863430023193359, -2.4020895957946777, -5.935013294219971, -2.87959361076355, -1.615090012550354]
273	392790	Old Babylonian (ca. 1900-1600 BC)	12	12	[-1.3968682289123535, -1.1052019596099854, -2.1352241039276123, 3.918262243270874, 2.7104718685150146, -0.48409411311149597, 0.17589148879051208, 4.539315700531006, -3.776350259780884, -0.12216576933860779, -2.267974376678467, -0.7558037638664246, 9.548697471618652, 0.9911723136901855, -3.8980603218078613, -4.7264204025268555, -0.6392551064491272, -1.1468911170959473]
274	236849	Early Old Babylonian (ca. 2000-1900 BC)	3	3	[-1.6118991374969482, -0.6747345924377441, -0.2090916633605957, 11.06847858428955, 1.0549014806747437, -3.6445956230163574, 1.0853445529937744, -0.6166951656341553, -0.07500595599412918, 0.30764245986938477, -6.00752592086792, 1.250004529953003, 6.440171241760254, -1.809589147567749, -2.1391303539276123, -1.386513590812683, -2.594249725341797, -2.4506874084472656]
275	423721	Old Babylonian (ca. 1900-1600 BC)	12	12	[-1.1335662603378296, 0.40724503993988037, -6.08263635635376, 6.683732509613037, -0.4966078996658325, -2.21455454826355, -1.6425964832305908, 2.941282033920288, -3.126202344894409, -0.8711451292037964, -2.2888946533203125, -4.099719524383545, 9.308479309082031, 0.8481259942054749, -2.6118857860565186, -1.3840394020080566, 0.7566242218017578, 1.5512266159057617]
276	449047	ED I-II (ca. 2900-2700 BC)	0	0	[6.701383590698242, 0.7438003420829773, 0.6771134734153748, -4.120561599731445, 1.2870246171951294, -2.3608412742614746, -2.0747833251953125, 0.45715928077697754, -0.7722781300544739, 0.5583431720733643, 1.1115244626998901, -0.6062301397323608, 5.940875053405762, -0.9519947171211243, -3.4814960956573486, 3.4296083450317383, -3.5193252563476562, -0.4615529477596283]
277	277436	Middle Babylonian (ca. 1400-1100 BC)	7	2	[-1.7386521100997925, -1.1511566638946533, 3.6453490257263184, 2.3169193267822266, -0.894368588924408, -0.8491834402084351, -0.7792467474937439, 0.6538650989532471, 1.3810441493988037, -0.4415819048881531, 0.33797866106033325, 2.058544158935547, 2.7697603702545166, -0.09117718786001205, 0.1820562183856964, -1.705366611480713, -2.3062353134155273, -1.5628653764724731]
278	234953	Ur III (ca. 2100-2000 BC)	14	14	[-1.4253089427947998, -2.967001438140869, -2.5085175037384033, 2.070742130279541, -2.5671067237854004, -2.0549707412719727, 0.8538734316825867, 1.7237073183059692, -1.6999131441116333, 0.4931528866291046, 1.1533877849578857, -0.03317897394299507, 5.2678327560424805, -3.573948860168457, 8.480403900146484, -3.9912569522857666, -2.0512406826019287, 1.1045372486114502]
279	250867	ED IIIb (ca. 2500-2340 BC)	2	2	[1.9219008684158325, 1.7402784824371338, 7.9241228103637695, -3.333385467529297, -2.0251495838165283, 1.48713219165802, -0.4554134011268616, -2.1677920818328857, 1.4901998043060303, -0.30594661831855774, 2.3693838119506836, -5.508872985839844, -1.9775184392929077, 0.19980522990226746, -2.7459073066711426, 0.7139161229133606, 1.4466198682785034, 0.809782862663269]
280	274129	Ebla (ca. 2350-2250 BC)	4	4	[-1.9822185039520264, 2.971698760986328, 1.122127890586853, -2.259190320968628, 12.361652374267578, 2.4448509216308594, -1.7903815507888794, -0.8470789194107056, 0.5698652267456055, -2.0900847911834717, -4.0166425704956055, -0.4286474585533142, -2.821485757827759, 0.21845324337482452, -5.6154890060424805, 0.8318071961402893, -0.2281513214111328, -1.328222393989563]
281	1163	Uruk IV (ca. 3350-3200 BC)	16	16	[-1.3662755489349365, -2.2295217514038086, 0.14351312816143036, -4.891620635986328, 0.3520772457122803, -1.9487652778625488, 0.3499656319618225, -0.15369093418121338, -5.745735168457031, -0.4551987946033478, -1.8462969064712524, -2.9247138500213623, -5.362454414367676, 1.2108689546585083, 2.0206220149993896, 1.9438023567199707, 11.843433380126953, 5.383054256439209]
282	290526	Ur III (ca. 2100-2000 BC)	14	10	[-1.0886330604553223, 1.5281529426574707, 4.99893856048584, 4.173177242279053, -0.9895967245101929, -2.28933048248291, -1.8808910846710205, -2.90203595161438, -4.929178237915039, -1.3805431127548218, 5.508878707885742, -0.1608167588710785, 0.2600555419921875, -0.42499855160713196, 1.4836196899414062, -0.8668801188468933, -0.9267809987068176, -0.17356079816818237]
283	274152	Ebla (ca. 2350-2250 BC)	4	4	[-1.5038055181503296, -3.196199417114258, -5.463614463806152, 1.3559496402740479, 16.515636444091797, -2.022812843322754, -0.04378432780504227, 0.3093864619731903, 3.3477327823638916, 0.6284580230712891, -7.722029209136963, -6.408423900604248, 4.460725784301758, 0.8313339948654175, -9.86376953125, -1.006096601486206, 3.1366941928863525, 0.1950758397579193]
284	228003	Old Babylonian (ca. 1900-1600 BC)	12	8	[-0.6332544684410095, -2.758657932281494, 0.4704338014125824, 0.2173665165901184, -1.038274884223938, -3.154533863067627, 0.334433913230896, 1.8032960891723633, 4.804558753967285, 2.552574872970581, -0.8269005417823792, 1.6014469861984253, 1.0934770107269287, -2.5718517303466797, 0.7663658857345581, -0.4158048629760742, -1.581531047821045, 0.7118146419525146]
285	476264	Middle Babylonian (ca. 1400-1100 BC)	7	8	[-2.3993940353393555, 1.3662523031234741, 3.123018264770508, -1.3549681901931763, -4.050319194793701, 2.5462214946746826, 2.188237190246582, -2.0860984325408936, 8.611296653747559, 3.2903268337249756, -3.81065034866333, -1.2195430994033813, -0.40900883078575134, -4.714941024780273, -2.1326706409454346, 0.9650220274925232, 1.5529720783233643, -2.1773951053619385]
286	212311	Ur III (ca. 2100-2000 BC)	14	14	[-0.8456389904022217, -0.21223509311676025, 0.7929286956787109, 0.939978301525116, 2.204800844192505, 2.2416040897369385, 0.24879112839698792, 0.9370461702346802, -3.7236766815185547, 0.7016042470932007, -1.7090764045715332, 1.541478157043457, -1.0556142330169678, -0.5095880627632141, 3.4633700847625732, -1.8194386959075928, 0.8635568618774414, -0.004794109612703323]
287	228534	Old Babylonian (ca. 1900-1600 BC)	12	8	[-0.1297115683555603, 1.2309173345565796, 0.5045213103294373, 1.3902595043182373, -1.0791524648666382, -0.20890755951404572, -1.5124274492263794, -0.6741470694541931, 1.5387104749679565, -1.2155096530914307, 1.005630373954773, -0.057035528123378754, 1.5100905895233154, -1.270196557044983, 0.7558669447898865, 0.37746235728263855, 0.6869930624961853, -1.7077182531356812]
288	262631	Old Babylonian (ca. 1900-1600 BC)	12	11	[-1.4089347124099731, -0.3186580240726471, -2.374535322189331, 2.022242784500122, -1.6705728769302368, -3.228574514389038, 2.792543888092041, 0.18815603852272034, -4.9831695556640625, -1.593563437461853, -1.5445853471755981, 5.395129203796387, 4.505181312561035, 1.6156083345413208, 2.7611913681030273, -0.1769638955593109, -0.729831874370575, -0.6152794361114502]
289	360849	Old Assyrian (ca. 1950-1850 BC)	11	11	[-1.7807191610336304, -3.101320743560791, -0.14433516561985016, 1.4252049922943115, -1.5615062713623047, 0.07387756556272507, 2.2108566761016846, 0.35019758343696594, -0.6198223233222961, -0.15643912553787231, -3.8836326599121094, 7.681760311126709, 0.6469323635101318, -1.2229700088500977, -1.3942791223526, 3.717925786972046, 0.07062303274869919, -0.8421903848648071]
290	359191	Old Assyrian (ca. 1950-1850 BC)	11	11	[0.8602536916732788, -1.1415634155273438, 1.0466357469558716, -2.197354555130005, -2.491482973098755, -1.3049969673156738, -1.0785554647445679, 0.5382091403007507, -0.5856088399887085, 2.540606737136841, 0.11573360860347748, 10.686774253845215, -1.3450208902359009, -0.5074642300605774, -1.2904725074768066, -0.6122248768806458, -0.5506317615509033, -0.14587882161140442]
291	406299	Lagash II (ca. 2200-2100 BC)	5	10	[1.0268207788467407, -1.4100747108459473, 3.080099582672119, 1.7340855598449707, -2.6636993885040283, 3.656952142715454, -3.0488595962524414, 0.41926026344299316, 0.5999772548675537, 0.41387659311294556, 5.481611728668213, -2.4836723804473877, -0.6768097877502441, -2.1729159355163574, -0.32606157660484314, 0.513071596622467, -1.0857722759246826, -0.9592262506484985]
292	428607	Neo-Assyrian (ca. 911-612 BC)	8	2	[0.673326849937439, -0.6515146493911743, 4.275624752044678, -1.3245571851730347, -1.2163137197494507, 0.8830628991127014, -1.7243000268936157, -1.9521851539611816, 2.2642908096313477, 1.4778742790222168, 3.705225944519043, -0.660313606262207, 1.679894208908081, 2.3053340911865234, 0.9412922859191895, -1.5372930765151978, -5.824670791625977, -1.5833745002746582]
293	274191	Ebla (ca. 2350-2250 BC)	4	4	[-2.4203972816467285, -1.4789329767227173, -1.6331570148468018, 4.166843414306641, 16.473127365112305, -1.855886459350586, -0.16765940189361572, 1.3419756889343262, 0.6693835258483887, -1.6175005435943604, -6.4335551261901855, -3.765219211578369, 6.66147518157959, -1.8914728164672852, -6.176642417907715, -5.544083118438721, -2.7523810863494873, -0.8178801536560059]
294	227139	Early Old Babylonian (ca. 2000-1900 BC)	3	12	[0.7195318937301636, 0.2627931237220764, 3.8998007774353027, 0.7428671717643738, -0.3361305594444275, -1.769364833831787, -0.728108286857605, 4.235922336578369, 2.868337631225586, -0.06132274866104126, 0.3946463465690613, -0.43062281608581543, 4.628594875335693, -2.6085662841796875, -1.9365394115447998, -2.0636746883392334, -3.497204542160034, -1.9357973337173462]
295	256296	Old Babylonian (ca. 1900-1600 BC)	12	12	[0.02790316939353943, -2.038217544555664, -0.4457704424858093, 0.8294328451156616, -2.48669695854187, -1.6642457246780396, -1.0133237838745117, 3.9409255981445312, 0.6607632040977478, -0.41122302412986755, 1.0704375505447388, 2.390665054321289, 4.691683769226074, -0.769874095916748, 1.6735546588897705, -2.197124481201172, -1.093623399734497, -0.9531972408294678]
296	274183	Ebla (ca. 2350-2250 BC)	4	12	[-1.110704779624939, -0.8448300957679749, -1.6725335121154785, 4.435487270355225, 4.183112144470215, 0.11384550482034683, -0.4991968870162964, 0.14154979586601257, -1.4676333665847778, -0.2803569436073303, -3.300799608230591, -3.024367094039917, 6.015891075134277, -0.9411337375640869, -2.290048122406006, 0.004145245999097824, 1.477021336555481, -1.3169482946395874]
297	274171	Ebla (ca. 2350-2250 BC)	4	4	[1.367841362953186, 0.5091619491577148, 0.5174951553344727, -3.611454963684082, 10.495725631713867, 0.45456674695014954, -1.48825204372406, -0.5625689625740051, -2.13124942779541, -1.6899619102478027, 1.0817570686340332, -1.6951147317886353, 1.3533685207366943, 1.1609519720077515, -6.070685863494873, 1.4454941749572754, -0.35633590817451477, -0.6015658378601074]
298	254035	ED IIIa (ca. 2600-2500 BC)	1	10	[-0.3469330668449402, 0.09149862080812454, 2.6756207942962646, -2.042755603790283, 0.9249991178512573, 1.946953535079956, -0.6553633809089661, -1.5535284280776978, 4.128188133239746, 1.091796636581421, 6.049253463745117, 1.3140640258789062, -2.150502920150757, -0.8368353843688965, -0.9135390520095825, -3.7448275089263916, -3.5688600540161133, -2.30576229095459]
299	20518	ED IIIb (ca. 2500-2340 BC)	2	2	[-0.02573820948600769, 5.6905646324157715, 8.034819602966309, -0.7764784097671509, 1.271327257156372, -2.634462833404541, 1.1777242422103882, -2.8320069313049316, -5.752386093139648, -0.058799147605895996, -1.301304817199707, 3.4073195457458496, -0.8099796772003174, -0.09258416295051575, -2.610771417617798, 2.2283926010131836, 0.7893949747085571, -1.4456626176834106]
300	391928	Early Old Babylonian (ca. 2000-1900 BC)	3	3	[0.3965323269367218, -2.8533711433410645, 0.0009246738627552986, 16.060073852539062, -2.760495662689209, 2.77783203125, 3.765106439590454, 2.016014337539673, 0.39466592669487, -0.7802203893661499, -5.1250200271606445, -0.8663560152053833, 7.313596725463867, -9.156567573547363, -2.44148325920105, -6.107260704040527, -6.271027565002441, -3.040883779525757]
301	1409	Uruk IV (ca. 3350-3200 BC)	16	16	[0.0018740221858024597, -1.8669606447219849, -2.570256233215332, -1.669548749923706, -0.11104351282119751, -2.224578619003296, 0.3000072240829468, -2.639887571334839, -0.30330342054367065, -0.5767736434936523, -3.303711175918579, -3.6425893306732178, -2.8002724647521973, 0.5313377976417542, 0.8877021670341492, 5.201012134552002, 11.436431884765625, 3.1799256801605225]
302	382306	Old Akkadian (ca. 2340-2200 BC)	10	10	[1.0389187335968018, -0.13640841841697693, 4.200607776641846, -3.257700204849243, 0.3829766809940338, -1.5732324123382568, -2.276963949203491, -0.3225874900817871, -0.7350654006004333, -0.6345382928848267, 7.647365093231201, -0.8663780689239502, 0.45533639192581177, -2.67075514793396, 0.7305076718330383, -0.1674966961145401, -2.9486725330352783, -0.04421047866344452]
303	274186	Ebla (ca. 2350-2250 BC)	4	4	[-2.364152431488037, -2.160496234893799, 1.052553653717041, 4.372432231903076, 8.479838371276855, -1.3421285152435303, -2.1584742069244385, 0.13613826036453247, -0.3544706702232361, 0.36538124084472656, -3.989499568939209, -4.533139705657959, 3.570128917694092, -3.1045284271240234, -4.609951019287109, 0.05724349617958069, 0.9563755989074707, 1.621117115020752]
304	128776	Ur III (ca. 2100-2000 BC)	14	6	[-1.248325228691101, -2.544966220855713, 3.4984936714172363, 0.47778868675231934, -3.265120506286621, -3.287940740585327, 4.302961826324463, 1.8906971216201782, -0.9189784526824951, 2.2629380226135254, 0.5372642874717712, 4.123315334320068, -0.5823660492897034, -2.9449472427368164, 2.9561524391174316, -3.2590556144714355, -2.6687262058258057, 0.29982802271842957]
